state,close_time,multiple_timezones,notes
AK,11/5/2014 0:00:00,1,
AL,11/4/2014 20:00:00,,
AR,11/4/2014 20:30:00,,
AZ,11/4/2014 21:00:00,,
CA,11/4/2014 23:00:00,,
CO,11/4/2014 21:00:00,,
CT,11/4/2014 20:00:00,,
DC,11/4/2014 20:00:00,,
DE,11/4/2014 20:00:00,,
FL,11/4/2014 20:00:00,1,
GA,11/4/2014 19:00:00,,
HI,11/4/2014 23:00:00,,
IA,11/4/2014 22:00:00,,
ID,11/4/2014 23:00:00,1,
IL,11/4/2014 20:00:00,,
IN,11/4/2014 19:00:00,1,
KS,11/4/2014 21:00:00,1,Some counties may close later if they choose to open later
KY,11/4/2014 19:00:00,1,
LA,11/4/2014 21:00:00,,
MA,11/4/2014 20:00:00,,
MD,11/4/2014 20:00:00,,
ME,11/4/2014 20:00:00,,
MI,11/4/2014 21:00:00,1,
MN,11/4/2014 21:00:00,,
MO,11/4/2014 20:00:00,,
MS,11/4/2014 20:00:00,,
MT,11/4/2014 22:00:00,,
NC,11/4/2014 19:30:00,,
ND,11/4/2014 21:00:00,1,
NE,11/4/2014 21:00:00,1,
NH,11/4/2014 20:00:00,,
NJ,11/4/2014 20:00:00,,
NM,11/4/2014 21:00:00,,
NV,11/4/2014 22:00:00,,
NY,11/4/2014 21:00:00,,
OH,11/4/2014 19:30:00,,
OK,11/4/2014 20:00:00,,
OR,11/4/2014 23:00:00,1,
PA,11/4/2014 20:00:00,,
RI,11/4/2014 20:00:00,,
SC,11/4/2014 19:00:00,,
SD,11/4/2014 21:00:00,1,
TN,11/4/2014 20:00:00,1,
TX,11/4/2014 21:00:00,1,
UT,11/4/2014 22:00:00,,
VA,11/4/2014 19:00:00,,
VT,11/4/2014 19:00:00,,
WA,11/4/2014 23:00:00,,
WI,11/4/2014 21:00:00,,
WV,11/4/2014 19:30:00,,
WY,11/4/2014 21:00:00,,
